,chorus.delays,chorus.depths,chorus.n_voices,chorus.speeds,group,overdrive.colour,overdrive.gain_db,phaser.decay,phaser.delay,phaser.gain_in,phaser.speed,reverb.reverberance,reverb.room_scale,reverb.wet_gain,model,chords
0,,,,,0,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
1,,,,,1,20.0,55.0,0.4,3.0,0.8,0.5,59.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
2,,,,,2,,,0.4,3.0,0.8,0.5,57.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
3,"[30, 54]",,2.0,,3,,,,,,,89.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
4,"[30, 54]",,2.0,,4,20.0,28.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
5,"[30, 54]",,2.0,,5,20.0,48.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
6,,,,,6,20.0,25.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
7,,,,,7,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
8,,,,,8,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
9,"[30, 54]",,2.0,,9,20.0,40.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
10,,,,,10,20.0,41.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
11,"[30, 54]",,2.0,,11,20.0,69.0,,,,,67.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
12,,,,,12,20.0,22.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
13,,,,,13,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
14,"[30, 54]",,2.0,,14,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
15,,,,,15,,,0.4,3.0,0.8,0.5,85.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
16,,,,,16,20.0,45.0,0.4,3.0,0.8,0.5,58.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
17,,,,,17,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
18,,,,,18,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
19,,,,,19,20.0,58.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59500-1111-287_powerchords_root_59_66_71
20,"[30, 54]",,2.0,,0,20.0,36.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
21,"[30, 54]",,2.0,,1,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
22,,,,,2,20.0,58.0,,,,,77.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
23,"[30, 54]",,2.0,,3,,,0.4,3.0,0.8,0.5,57.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
24,,,,,4,20.0,43.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
25,,,,,5,20.0,54.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
26,,,,,6,20.0,50.0,0.4,3.0,0.8,0.5,78.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
27,,,,,7,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
28,"[30, 54]",,2.0,,8,20.0,22.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
29,,,,,9,20.0,57.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
30,"[30, 54]",,2.0,,10,,,,,,,92.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
31,,,,,11,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
32,"[30, 54]",,2.0,,12,,,0.4,3.0,0.8,0.5,59.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
33,"[30, 54]",,2.0,,13,,,0.4,3.0,0.8,0.5,55.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
34,"[30, 54]",,2.0,,14,20.0,62.0,,,,,55.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
35,,,,,15,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
36,"[30, 54]",,2.0,,16,20.0,31.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
37,,,,,17,20.0,64.0,0.4,3.0,0.8,0.5,88.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
38,,,,,18,20.0,26.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
39,,,,,19,20.0,51.0,,,,,65.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-50300-1111-261_powerchords_root_50_57_62
40,,,,,0,20.0,23.0,,,,,97.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
41,,,,,1,20.0,70.0,,,,,77.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
42,,,,,2,,,,,,,61.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
43,"[30, 54]",,2.0,,3,20.0,66.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
44,,,,,4,,,0.4,3.0,0.8,0.5,79.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
45,"[30, 54]",,2.0,,5,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
46,"[30, 54]",,2.0,,6,20.0,29.0,0.4,3.0,0.8,0.5,75.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
47,"[30, 54]",,2.0,,7,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
48,,,,,8,20.0,61.0,0.4,3.0,0.8,0.5,74.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
49,,,,,9,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
50,,,,,10,20.0,37.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
51,"[30, 54]",,2.0,,11,20.0,69.0,,,,,70.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
52,,,,,12,,,0.4,3.0,0.8,0.5,77.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
53,"[30, 54]",,2.0,,13,20.0,38.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
54,,,,,14,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
55,"[30, 54]",,2.0,,15,20.0,42.0,,,,,96.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
56,"[30, 54]",,2.0,,16,20.0,69.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
57,"[30, 54]",,2.0,,17,,,,,,,90.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
