,chord_name,chorus.delays,chorus.depths,chorus.n_voices,chorus.speeds,group,model_name,overdrive.colour,overdrive.gain_db,phaser.decay,phaser.delay,phaser.gain_in,phaser.speed,reverb.reverberance,reverb.room_scale,reverb.wet_gain
0,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,0,Fender Strat Clean Neck SC,48,73,,,,,82,100,3
1,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,1,Fender Strat Clean Neck SC,70,16,0.4,3.0,0.8,0.5,53,100,3
2,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,2,Fender Strat Clean Neck SC,49,33,0.4,3.0,0.8,0.5,51,100,3
3,G53-40100-1111-00001_powerchords_root_40_47_52.wav,"[30, 54]",,2.0,,3,Fender Strat Clean Neck SC,34,29,,,,,63,100,3
4,G53-40100-1111-00001_powerchords_root_40_47_52.wav,"[30, 54]",,2.0,,4,Fender Strat Clean Neck SC,16,20,,,,,81,100,3
5,G53-40100-1111-00001_powerchords_root_40_47_52.wav,"[30, 54]",,2.0,,5,Fender Strat Clean Neck SC,56,42,,,,,74,100,3
6,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,6,Fender Strat Clean Neck SC,10,45,0.4,3.0,0.8,0.5,76,100,3
7,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,7,Fender Strat Clean Neck SC,60,63,,,,,82,100,3
8,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,8,Fender Strat Clean Neck SC,57,73,,,,,60,100,3
9,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,9,Fender Strat Clean Neck SC,26,55,0.4,3.0,0.8,0.5,83,100,3
10,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,10,Fender Strat Clean Neck SC,75,37,,,,,68,100,3
11,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,11,Fender Strat Clean Neck SC,27,63,,,,,91,100,3
12,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,12,Fender Strat Clean Neck SC,78,42,0.4,3.0,0.8,0.5,99,100,3
13,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,13,Fender Strat Clean Neck SC,26,16,0.4,3.0,0.8,0.5,56,100,3
14,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,14,Fender Strat Clean Neck SC,53,69,,,,,57,100,3
15,G53-40100-1111-00001_powerchords_root_40_47_52.wav,"[30, 54]",,2.0,,15,Fender Strat Clean Neck SC,5,49,0.4,3.0,0.8,0.5,97,100,3
16,G53-40100-1111-00001_powerchords_root_40_47_52.wav,"[30, 54]",,2.0,,16,Fender Strat Clean Neck SC,12,41,,,,,76,100,3
17,G53-40100-1111-00001_powerchords_root_40_47_52.wav,"[30, 54]",,2.0,,17,Fender Strat Clean Neck SC,66,23,,,,,64,100,3
18,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,18,Fender Strat Clean Neck SC,3,55,,,,,89,100,3
19,G53-40100-1111-00001_powerchords_root_40_47_52.wav,,,,,19,Fender Strat Clean Neck SC,31,59,0.4,3.0,0.8,0.5,56,100,3
20,G53-41101-1111-00002_powerchords_root_41_48_53.wav,,,,,0,Fender Strat Clean Neck SC,18,61,,,,,76,100,3
21,G53-41101-1111-00002_powerchords_root_41_48_53.wav,"[30, 54]",,2.0,,1,Fender Strat Clean Neck SC,47,21,0.4,3.0,0.8,0.5,62,100,3
22,G53-41101-1111-00002_powerchords_root_41_48_53.wav,,,,,2,Fender Strat Clean Neck SC,40,30,0.4,3.0,0.8,0.5,62,100,3
23,G53-41101-1111-00002_powerchords_root_41_48_53.wav,"[30, 54]",,2.0,,3,Fender Strat Clean Neck SC,46,78,,,,,98,100,3
24,G53-41101-1111-00002_powerchords_root_41_48_53.wav,"[30, 54]",,2.0,,4,Fender Strat Clean Neck SC,45,59,0.4,3.0,0.8,0.5,68,100,3
25,G53-41101-1111-00002_powerchords_root_41_48_53.wav,,,,,5,Fender Strat Clean Neck SC,61,34,0.4,3.0,0.8,0.5,64,100,3
26,G53-41101-1111-00002_powerchords_root_41_48_53.wav,,,,,6,Fender Strat Clean Neck SC,42,71,0.4,3.0,0.8,0.5,97,100,3
27,G53-41101-1111-00002_powerchords_root_41_48_53.wav,"[30, 54]",,2.0,,7,Fender Strat Clean Neck SC,27,76,,,,,74,100,3
28,G53-41101-1111-00002_powerchords_root_41_48_53.wav,,,,,8,Fender Strat Clean Neck SC,75,16,,,,,82,100,3
29,G53-41101-1111-00002_powerchords_root_41_48_53.wav,"[30, 54]",,2.0,,9,Fender Strat Clean Neck SC,49,54,,,,,64,100,3
30,G53-41101-1111-00002_powerchords_root_41_48_53.wav,"[30, 54]",,2.0,,10,Fender Strat Clean Neck SC,35,69,,,,,91,100,3
31,G53-41101-1111-00002_powerchords_root_41_48_53.wav,"[30, 54]",,2.0,,11,Fender Strat Clean Neck SC,37,77,0.4,3.0,0.8,0.5,74,100,3
32,G53-41101-1111-00002_powerchords_root_41_48_53.wav,"[30, 54]",,2.0,,12,Fender Strat Clean Neck SC,69,18,0.4,3.0,0.8,0.5,77,100,3
33,G53-41101-1111-00002_powerchords_root_41_48_53.wav,"[30, 54]",,2.0,,13,Fender Strat Clean Neck SC,30,64,,,,,64,100,3
34,G53-41101-1111-00002_powerchords_root_41_48_53.wav,,,,,14,Fender Strat Clean Neck SC,6,37,0.4,3.0,0.8,0.5,81,100,3
35,G53-41101-1111-00002_powerchords_root_41_48_53.wav,,,,,15,Fender Strat Clean Neck SC,74,54,0.4,3.0,0.8,0.5,75,100,3
36,G53-41101-1111-00002_powerchords_root_41_48_53.wav,"[30, 54]",,2.0,,16,Fender Strat Clean Neck SC,12,64,,,,,54,100,3
37,G53-41101-1111-00002_powerchords_root_41_48_53.wav,,,,,17,Fender Strat Clean Neck SC,13,76,,,,,80,100,3
38,G53-41101-1111-00002_powerchords_root_41_48_53.wav,"[30, 54]",,2.0,,18,Fender Strat Clean Neck SC,30,17,0.4,3.0,0.8,0.5,77,100,3
39,G53-41101-1111-00002_powerchords_root_41_48_53.wav,,,,,19,Fender Strat Clean Neck SC,38,60,0.4,3.0,0.8,0.5,61,100,3
40,G53-42102-1111-00003_powerchords_root_42_49_54.wav,,,,,0,Fender Strat Clean Neck SC,29,46,0.4,3.0,0.8,0.5,94,100,3
41,G53-42102-1111-00003_powerchords_root_42_49_54.wav,"[30, 54]",,2.0,,1,Fender Strat Clean Neck SC,20,33,0.4,3.0,0.8,0.5,50,100,3
42,G53-42102-1111-00003_powerchords_root_42_49_54.wav,"[30, 54]",,2.0,,2,Fender Strat Clean Neck SC,47,73,0.4,3.0,0.8,0.5,86,100,3
43,G53-42102-1111-00003_powerchords_root_42_49_54.wav,"[30, 54]",,2.0,,3,Fender Strat Clean Neck SC,18,70,0.4,3.0,0.8,0.5,57,100,3
44,G53-42102-1111-00003_powerchords_root_42_49_54.wav,,,,,4,Fender Strat Clean Neck SC,29,79,,,,,94,100,3
45,G53-42102-1111-00003_powerchords_root_42_49_54.wav,"[30, 54]",,2.0,,5,Fender Strat Clean Neck SC,70,21,,,,,90,100,3
46,G53-42102-1111-00003_powerchords_root_42_49_54.wav,"[30, 54]",,2.0,,6,Fender Strat Clean Neck SC,53,46,,,,,78,100,3
47,G53-42102-1111-00003_powerchords_root_42_49_54.wav,,,,,7,Fender Strat Clean Neck SC,0,80,0.4,3.0,0.8,0.5,99,100,3
48,G53-42102-1111-00003_powerchords_root_42_49_54.wav,"[30, 54]",,2.0,,8,Fender Strat Clean Neck SC,2,19,0.4,3.0,0.8,0.5,53,100,3
49,G53-42102-1111-00003_powerchords_root_42_49_54.wav,,,,,9,Fender Strat Clean Neck SC,8,69,0.4,3.0,0.8,0.5,86,100,3
50,G53-42102-1111-00003_powerchords_root_42_49_54.wav,"[30, 54]",,2.0,,10,Fender Strat Clean Neck SC,30,41,,,,,96,100,3
51,G53-42102-1111-00003_powerchords_root_42_49_54.wav,"[30, 54]",,2.0,,11,Fender Strat Clean Neck SC,57,64,,,,,52,100,3
52,G53-42102-1111-00003_powerchords_root_42_49_54.wav,,,,,12,Fender Strat Clean Neck SC,70,56,0.4,3.0,0.8,0.5,96,100,3
