,chorus.delays,chorus.depths,chorus.n_voices,chorus.speeds,group,overdrive.colour,overdrive.gain_db,phaser.decay,phaser.delay,phaser.gain_in,phaser.speed,reverb.reverberance,reverb.room_scale,reverb.wet_gain,model,chords
0,,,,,0,20.0,29,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
1,"[30, 54]",,2.0,,1,20.0,18,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
2,,,,,2,20.0,7,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
3,"[30, 54]",,2.0,,3,20.0,19,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
4,"[30, 54]",,2.0,,4,20.0,39,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
5,"[30, 54]",,2.0,,5,20.0,23,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
6,,,,,6,20.0,50,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
7,"[30, 54]",,2.0,,7,20.0,24,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
8,,,,,8,20.0,32,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
9,,,,,9,20.0,42,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
10,"[30, 54]",,2.0,,10,20.0,56,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
11,"[30, 54]",,2.0,,11,20.0,24,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
12,"[30, 54]",,2.0,,12,20.0,31,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
13,,,,,13,20.0,57,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
14,,,,,14,20.0,27,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
15,,,,,15,20.0,28,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
16,"[30, 54]",,2.0,,16,20.0,31,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
17,,,,,17,20.0,44,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
18,"[30, 54]",,2.0,,18,20.0,4,,,,,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
19,"[30, 54]",,2.0,,19,20.0,59,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-68509-1111-00062
20,,,,,0,20.0,6,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
21,,,,,1,20.0,28,,,,,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
22,,,,,2,20.0,3,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
23,,,,,3,20.0,9,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
24,,,,,4,20.0,33,,,,,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
25,"[30, 54]",,2.0,,5,20.0,13,,,,,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
26,,,,,6,20.0,45,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
27,,,,,7,20.0,38,,,,,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
28,"[30, 54]",,2.0,,8,20.0,42,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
29,"[30, 54]",,2.0,,9,20.0,14,,,,,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
30,,,,,10,20.0,9,,,,,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
31,"[30, 54]",,2.0,,11,20.0,56,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
32,"[30, 54]",,2.0,,12,20.0,60,,,,,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
33,"[30, 54]",,2.0,,13,20.0,24,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
34,,,,,14,20.0,38,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
35,"[30, 54]",,2.0,,15,20.0,29,,,,,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
